Name;URL;Author;Price;Number of Ratings;Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo;/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1;Not Available;$18.99;2,967;4.9 out of 5 stars
A Higher Loyalty: Truth, Lies, and Leadership;/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1;Not Available;$17.99;Not Avaiable;Prime
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends;/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1;Peter Schweizer;$18.06;Not Avaiable;Prime
Marlon Bundo's Day in the Life of the Vice President;/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1;Charlotte Pence;$13.51;51;4.6 out of 5 stars
Food: What the Heck Should I Eat?;/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1;Mark Hyman M.D.;$16.80;164;4.6 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump;/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1;Michael Isikoff;$18.05;106;4.5 out of 5 stars
12 Rules for Life: An Antidote to Chaos;/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1;Jordan B. Peterson;$15.57;1,450;4.8 out of 5 stars
Llama Llama Easter Egg;/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1;Anna Dewdney;$5.32;213;4.5 out of 5 stars
A Wrinkle in Time (Time Quintet);/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1;Madeleine L'Engle;$5.26;2,935;4.5 out of 5 stars
Peppa's Easter Egg Hunt (Peppa Pig);/Peppas-Easter-Egg-Hunt-Peppa/dp/0545881307?_encoding=UTF8&psc=1;Not Available;$3.13;178;4.8 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included;/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1;Don't Laugh Joke;$7.28;10;5.0 out of 5 stars
Happy Easter, Mouse! (If You Give...);/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1;Not Available;$5.63;280;4.5 out of 5 stars
A Brief History of Time;/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1;Stephen Hawking;$11.41;2,123;4.5 out of 5 stars
Easter Eggstravaganza Mad Libs;/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1;Roger Price;$4.17;134;4.6 out of 5 stars
Ready Player One: A Novel;/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1;Ernest Cline;$8.79;16,238;4.6 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1;Mark Manson;$14.99;3,222;4.4 out of 5 stars
Magnolia Table: A Collection of Recipes for Gathering;/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1;Joanna Gaines;$17.99;Not Avaiable;Prime
Little Fires Everywhere;/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1;Celeste Ng;$15.28;1,992;4.4 out of 5 stars
The 5 Love Languages: The Secret to Love that Lasts;/Love-Languages-Secret-that-Lasts/dp/080241270X?_encoding=UTF8&psc=1;Gary Chapman;$9.59;12,662;4.8 out of 5 stars
I've Loved You Since Forever;/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1;Hoda Kotb;$12.00;48;4.5 out of 5 stars
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo;/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1;Not Available;$18.99;2,967;4.9 out of 5 stars
A Higher Loyalty: Truth, Lies, and Leadership;/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1;Not Available;$17.99;Not Avaiable;Prime
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends;/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1;Peter Schweizer;$18.06;Not Avaiable;Prime
Marlon Bundo's Day in the Life of the Vice President;/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1;Charlotte Pence;$13.51;51;4.6 out of 5 stars
Food: What the Heck Should I Eat?;/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1;Mark Hyman M.D.;$16.80;164;4.6 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump;/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1;Michael Isikoff;$18.05;106;4.5 out of 5 stars
12 Rules for Life: An Antidote to Chaos;/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1;Jordan B. Peterson;$15.57;1,450;4.8 out of 5 stars
Llama Llama Easter Egg;/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1;Anna Dewdney;$5.32;213;4.5 out of 5 stars
A Wrinkle in Time (Time Quintet);/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1;Madeleine L'Engle;$5.26;2,935;4.5 out of 5 stars
Peppa's Easter Egg Hunt (Peppa Pig);/Peppas-Easter-Egg-Hunt-Peppa/dp/0545881307?_encoding=UTF8&psc=1;Not Available;$3.13;178;4.8 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included;/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1;Don't Laugh Joke;$7.28;10;5.0 out of 5 stars
Happy Easter, Mouse! (If You Give...);/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1;Not Available;$5.63;280;4.5 out of 5 stars
A Brief History of Time;/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1;Stephen Hawking;$11.41;2,123;4.5 out of 5 stars
Easter Eggstravaganza Mad Libs;/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1;Roger Price;$4.17;134;4.6 out of 5 stars
Ready Player One: A Novel;/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1;Ernest Cline;$8.79;16,238;4.6 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1;Mark Manson;$14.99;3,222;4.4 out of 5 stars
Magnolia Table: A Collection of Recipes for Gathering;/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1;Joanna Gaines;$17.99;Not Avaiable;Prime
Little Fires Everywhere;/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1;Celeste Ng;$15.28;1,992;4.4 out of 5 stars
The 5 Love Languages: The Secret to Love that Lasts;/Love-Languages-Secret-that-Lasts/dp/080241270X?_encoding=UTF8&psc=1;Gary Chapman;$9.59;12,662;4.8 out of 5 stars
